site,user,review_target,review,score,max_score
Rotten Tomatoes,Paul Kanieski,Dune 2021,"The talented cast is in service of spectacle, doing little more than providing the expositional sutures that connect one elaborate set piece to the next.",A+,A+
Rotten Tomatoes,Manuel São Bento,Dune 2021,"Dune sets the new standard for epic cinema with eyegamic visuals, powerful sound design and score, and a compelling story surrounded by an absolutely massive scale. Denis Villeneuve adds yet another audiovisual masterpiece to his filmography.",A-,A+
Rotten Tomatoes,Akos Peterbencze,Dune 2021,Dune is so engaged in getting the plot right and building an appropriate world that it doesn’t have time to let its characters bond or develop a real connection.,A-,A+
Rotten Tomatoes,Hector A. Gonzalez,Dune 2021,"Villeneuve can build spectacle and innovative tales because we have seen him do it before, but his rendition of Dune isn’t one of them.",C,A+
Rotten Tomatoes,Tyler Strandberg,Dune 2021,"Laced with complex politics, interesting themes on religion, gender, imperialism, and environmentalism; this has just about everything a fantasy/sci-fi fan could want.",C,A+
Rotten Tomatoes,Kevin Bourne,Dune 2021,"Denis Villeneuve’s Dune is simply epic in every sense of the word, from the acting and action sequences, to the score from Oscar-winning composer Hans Zimmer. The grandeur of the film is accentuated by captivating shots and landscapes",C,A+
Rotten Tomatoes,Nadir Samara,The Matrix,"Making a great film that's a psychedelic, kung-fu-inspired meditation on the human condition is a tall order. The Matrix delivers on all that & more.",4.5,5
Rotten Tomatoes,Mark Jackson,The Matrix,“The Matrix” is the AI prophecy and wake-up call the human race is in dire need of. Watching the 2024 re-release is highly recommended.,5,5
Rotten Tomatoes,Sebastian Zavala Kahn,The Matrix,"An amazing cocktail of martial arts, shootouts, philosophy, romance, fantasy, revolutionary visual effects and perfect casting. “The Matrix” surprised us 25 years ago, and it continues to surprise us in the Year of Our Lord 2024. Full review in Spanish.",5,5
Rotten Tomatoes,Sean Axmaker,The Matrix,"The Wachowskis proceed to turn the world as we know it into a virtual reality landscape with a 20th century tech-noir look (lit with a sickly green hue, like the glow of an old IBM computer screen) and the physics of a video game.",5,5
Rotten Tomatoes,Dan DiNicola,The Matrix,"A $60 million, high-tech assault on the senses and a pretentious insult to the mind.",5,5
Rotten Tomatoes,Christopher Brandon,The Matrix,"A cyberpunk thriller that's so much fun to watch, it could single-handedly reboot the genre.",5,5
Rotten Tomatoes,Bill Gallo,The Matrix,"The Wachowskis seem to be saying that while state-of-the-art effects speak for themselves, loud and clear, there's still room amid all the kicking and shooting and shouting for the carefully observed human emotion.",5,5
Rotten Tomatoes,Mike Clark,The Matrix,"Though The Matrix ultimately overdoses on gloom-and-doom grunge, over-elaborate cool and especially running time, it's just clever enough to enable [the Wachowskis] to nix the sophomore jinx following 1996's Bound.",2.5,4
Rotten Tomatoes,Joe Morgenstern,The Matrix,"I know almost nothing of the intricate techniques that make The Matrix as eye-filling as it is brain-numbing, but I can tell you that... [its visuals] are wondrous to behold.",2.5,4
Rotten Tomatoes,Katherine Monk,The Matrix,"If you're looking for a good spring fix of existentialist sci-fi, look no further than The Matrix -- then do everything you can to look deeper than the skin-tight surface.",3,5
Rotten Tomatoes,Michael D. Reid,The Matrix,"Although it's sometimes too confounding for its own good and a little heavy on the Zen-inspired techno-babble, The Matrix is a consistently absorbing assault on the senses.",4,5
Rotten Tomatoes,Manohla Dargis,The Matrix,"There's more form than content in The Matrix, but Bill Pope's swooping, noir-inflected cinematography is wonderfully complemented by Owen Paterson's inventive production design, a great soundtrack and the best fight choreography this side of Hong Kong.",4,5
Rotten Tomatoes,Jack Mathews,The Matrix,Give [the Wachowskis] an A for effort and three A's for those effects. The Matrix is a dazzlingly original visual adventure.,3,4
Rotten Tomatoes,Terry Lawson,The Matrix,"Casting the robotic Reeves as the hope of humanity may be this oppressively long, self-satisfied movie's funniest gag, but it doesn't really make the game any fun. It means we get stuck with the least interesting player.",1,4
Rotten Tomatoes,Rene Rodriguez,The Matrix,"The Matrix's pleasures are considerable, but they're all purely visceral, too, lacking the mythology that would have elevated the movie. The movie is best taken as the first entry in a brand-new genre: post-modern sci-fi pulp.",2.5,4
Rotten Tomatoes,Stephen Cole,The Matrix,How could filmmakers who are so skilled and imaginative lose themselves (and us) in what feels like a college stab at Aldous Huxley metaphysics?,2.5,4
Rotten Tomatoes,Jay Boyar,The Matrix,"A futuristic paranoia extravaganza, it would seem to have far more appeal to an artificial intelligence than it would to human beings and other carbon-based life forms.",2,5
Rotten Tomatoes,Rene Jordan,The Matrix,"An interminable, sterile, exercise in cinematographic onanism.  [Full review in Spanish]",2.5,5
Rotten Tomatoes,Gary Wolcott,The Matrix,"Like last year's Dark City, the effects and storyline of The Matrix plow through enough fresh territory to make it worth seeing.",B,A+
Rotten Tomatoes,Ron Weiskind,The Matrix,"Visually, at least, The Matrix more than lives up to its billing. Writer-directors [the Wachowskis] seem to literally bring the screen to life with action scenes that define the word kinetic.",2.5,4
Rotten Tomatoes,Danilo Castro,Inception,"Overall, “Inception” is a triumph, a perfectly oiled dream machine that can blow minds on first viewing and satisfy cinephiles on repeat viewings.",9,10
Rotten Tomatoes,Wendy Ide,Inception,"Nolan is exploring dreams and the possibilities are endless, which is why it’s a little disappointing that so much of the film feels like a generic CGI action movie, albeit a high-class one.",9,10
Rotten Tomatoes,Yasser Medina,Inception,"It is, simply put, a cerebral masterpiece from Christopher Nolan. [Full review in Spanish]",10,10
Rotten Tomatoes,Anushka Halve,Inception,As the corridor spins the characters as well as the audience have to grapple with the blurred boundaries between reality and the subconscious.,10,10
Rotten Tomatoes,Akhil Arora,Inception,"There are thrillers, and then there are thrillers. Gripping every second and couching its pages of exposition in the smartest way possible, Inception is original filmmaking at its finest.",10,10
Rotten Tomatoes,Don Shanahan,Inception,"""Inception"" delivers twists that fit the evolving context of the story it's creating and commandingly wins your attention enough to not turn you off.  While it may not seem like it, there is a point and a light at the end of the tunnel to this maze.",5,5
Rotten Tomatoes,Brian Eggert,Inception,"This film must be revisited, talked about, analyzed, and rewatched again and again. It will surely grow upon each viewing, but it proves instantly enthralling the first time.",4,4
Rotten Tomatoes,Cory Woodroof,Inception,"Still one of the best original films of the last 25 years, Inception is a groundbreaking action drama with some of the most intricate plot mapping this side of dreams and reality.",4,4
Rotten Tomatoes,Amy Thomasson,Inception,"Fresh, innovative stories told in non-traditional ways...",4,4
Rotten Tomatoes,Jennifer Bisset,Inception,"This is Christopher Nolan's insane, original concept...",4,4
Rotten Tomatoes,Sean Axmaker,Inception,[This] caper film that heists dreams instead of treasure is surely the most cerebral action thriller to become a blockbuster.,4,4
Rotten Tomatoes,Vadim Rizov,Inception,"Tech achievements duly noted (and their scale is certainly not nothing), I’m drawn back to Nolan’s 2001 fixation, unveiled to truly embarrassing effect in the dire, airless Inception...",4,4
Rotten Tomatoes,Rene Jordan,Inception,Confusing nightmare.  [Full review in Spanish],4,4
Rotten Tomatoes,Zoë Rose Bryant,Inception,Inception’s inspiring imagination and ingenious innovation are still as staggering and stimulating today as they were ten years ago.,5,5
Rotten Tomatoes,Keith Garlington,Inception,...a modern cinematic masterpiece.,5,5
Rotten Tomatoes,Fausto Fernandez,Inception,Blows up completely the notion of reality based on an extraordinary overlay of Borgian levels... [Full review in Spanish],4,5
Rotten Tomatoes,Fico Cangiano,Inception,"Nolan's ""dream within a dream"" heist film, not only keeps you on the edge of your seat with incredible visual effects and memorable action set pieces, but also makes you a part of the puzzle-solving team from beginning to end. [Full review in Spanish]",5,5
Rotten Tomatoes,Steven Hale,Inception,"It's not nearly as confusing as many make it out to be, but if you do find yourself losing the plot a bit, remember you're at the movies and just let it overwhelm you. That's part of the fun.",5,5
Rotten Tomatoes,Taylor Hatmaker,Inception,"Inception engaged on a mainly intellectually level, but that isn't to say that film didn't pack an emotional impact.",5,5
Rotten Tomatoes,Andrea Hubert,Inception,"""They say we only use a fraction of our brain's potential"" we are told in Inception. The same will never be said of Nolan.",4.5,5
Rotten Tomatoes,Paul Emmanuel Enicola,Interstellar 2014,"While detractors have often accused Nolan of being all brains and no heart, “Interstellar” shows that his intellect and his emotions are not at odds—they are inextricably linked.",4.5,5
Rotten Tomatoes,Benjamín Harguindey,Interstellar 2014,"Nolan, a fan of narrative devices and metaphors, uses this bending of time to create tension, drama and suspense across a multitude of spaces and timelines. [Full review in Spanish]",8,10
Rotten Tomatoes,Kevin Maher,Interstellar 2014,"[A] gorgeous, heartbreaking epic.",5,5
Rotten Tomatoes,Akhil Arora,Interstellar 2014,"Humbling and epic in scope, designed and conceptualised brilliantly, but a tad too stand-off-ish emotionally. While the father-daughter dynamic works in parts, the Cooper–Brand relationship is never given the right treatment and collapses.",5,5
Rotten Tomatoes,Sean Axmaker,Interstellar 2014,This is a film where complex concepts of quantum physics and powerful human emotions are inextricably intertwined and the ghost that haunts the farmhouse has both a scientific explanation and a sense of supernatural power.,5,5
Rotten Tomatoes,Don Shanahan,Interstellar 2014,"""Interstellar"" pushes the limits for personal interpretation of both science and fiction. Both elements are wildly heightened to a bold scale to address the internal opposites between logic and spectacle, science and sentiment, and brains and emotion.",4,5
Rotten Tomatoes,Eddie Harrison,Interstellar 2014,…uses sci-fi to go beyond into the philosophical and spiritual beyond that few other epics can reach….,4,5
Rotten Tomatoes,Cory Woodroof,Interstellar 2014,"Nolan’s most openly emotional film, he fully lived up to his “Stanley Kubrick’s eye and Steven Spielberg’s heart” identity with this grand sci-fi epic about the sheer force of will that we have for those we love.",4,5
Rotten Tomatoes,Danielle Solzman,Interstellar 2014,Interstellar utilizes science in a way that strives for authenticity in a science-fiction thriller and it's why we're still discussing the Christopher Nolan film today.,4.5,5
Rotten Tomatoes,Q.V. Hough,Interstellar 2014,"As Robert Bresson once said, “I’d rather people feel a film before understanding it.” Interstellar moved me, and I didn’t find myself fact checking the science so I could complain on Twitter.",4.5,5
Rotten Tomatoes,Wendy Ide,Interstellar 2014,"Staggeringly beautiful, bafflingly complex, this is proper event cinema.",4.5,5
Rotten Tomatoes,Edward Porter,Interstellar 2014,"The film demands quite a bit of time from its viewers too, but its big ideas and wondrous sights are ample reward.",4.5,5
Rotten Tomatoes,Vadim Rizov,Interstellar 2014,"When Mann appears to explain man, it collapses under the weight of a repeated thesis that doesn’t merit such explicit, redundant reiteration.",4.5,5
Rotten Tomatoes,Keith Garlington,Interstellar 2014,It’s a contemplative adventure and an emotional exploration that captivated me from its opening moments.,5,5
Rotten Tomatoes,Brian Eggert,Interstellar 2014,Rarely do epics of this scope and intelligence reach theaters anymore; such serious commercial filmmaking seems like a market almost exclusively maintained by Christopher Nolan.,4,4
Rotten Tomatoes,Josh Parham,Interstellar 2014,"While not all-together perfect, the film represents a monumental cinematic achievement that deserves to be placed high within the caliber of Nolan’s filmography.",9,10
Rotten Tomatoes,Therese Lacson,Interstellar 2014,"The inherent message of the film brings hope, but it can definitely get waterlogged by intellectual speak and long-winded scenes.",3,5
Rotten Tomatoes,Kip Mooney,Interstellar 2014,The film is indeed a sight to behold -- and one that demands to be seen on the biggest possible screen.,B,A+
Rotten Tomatoes,Richard Crouse,Interstellar 2014,"Nolan reaches for the stars with beautifully composed shots and some mind-bending special effects, but the dime store philosophy of the story never achieves lift off.",3,5
Rotten Tomatoes,Mike Massie,Interstellar 2014,Audiences are sure to lose their suspensions of disbelief over the nearly impenetrable climax.,5,10
Rotten Tomatoes,Martin Carr,The Dark Knight 2008,The Dark Knight takes comic book characters and plants them firmly in the real world. Revealing a Gotham defined by human flaws and plummeting into freefall. That realism puts it head and shoulders above almost anything else and redefines a genre.,10,10
Rotten Tomatoes,Juan Pablo Russo,The Dark Knight 2008,"With a memorable performance from Heath Ledger, masterful direction from Nolan, and bold storytelling, this film stands out as one of the best comic book adaptations in film history. [Full Review in Spanish]",10,10
Rotten Tomatoes,Akhil Arora,The Dark Knight 2008,It doesn’t matter how many superhero movies its crosstown rival makes; it’ll never match the brilliance that Nolan delivered the same year Marvel began its infinite project. Firing on all cylinders … this is the most complete film Nolan has ever made.,10,10
Rotten Tomatoes,Christian Eulinberg,The Dark Knight 2008,"For the longest time, I’ve viewed this film as the Godfather of live-action Batman films.",10,10
Rotten Tomatoes,Cory Woodroof,The Dark Knight 2008,"The pinnacle of Nolan’s career so far, The Dark Knight is one of the most impressionable films of the 21st century (and one of the best).",10,10
Rotten Tomatoes,Brian Eggert,The Dark Knight 2008,"An incomparable crime thriller and superhero film, and an instant classic in both genres",4,4
Rotten Tomatoes,Fico Cangiano,The Dark Knight 2008,A masterpiece within or outside the superhero & comic book genre it explores. Heath Ledger delivers one of the most iconic performances in film history. [Full review in Spanish],5,5
Rotten Tomatoes,Richard Crouse,The Dark Knight 2008,A rare beast. It's a summer blockbuster with equal parts brain and brawn.,4.5,5
Rotten Tomatoes,Mike Massie,The Dark Knight 2008,The famous masked vigilante has never looked or felt more intense.,7,10
Rotten Tomatoes,Jason Best,The Dark Knight 2008,"With his smeared whiteface make-up and leering razor-slashed smile, Ledger's Joker is creepy enough to look at, but what he represents is even more chilling.",7,10
Rotten Tomatoes,Richard Propes,The Dark Knight 2008,The awards hype is warranted.,3.5,4.0
Rotten Tomatoes,Siddhant Adlakha,The Dark Knight 2008,"The Dark Knight managed to capture something complex and instinctive about the ""war on terror"" era.",3.5,4.0
Rotten Tomatoes,Josh Wilding,The Dark Knight 2008,"A masterpiece. Christopher Nolan's The Dark Knight is not only one of the greatest comic book movies you'll ever see, but also one of the best films of all-time.",5,5
Rotten Tomatoes,Felicia Feaster,The Dark Knight 2008,It seems almost cruel to take beloved child archetypes and turn them into projections for adult angst.,5,5
Rotten Tomatoes,Paul McGuire Grimes,The Dark Knight 2008,"Heath Ledger gives one of the best performances of the last twenty years. When you watch his take on the Joker, it's one of complete surprise and mystery. It's frightening with how chaotic and mischievous he makes him.",5,5
Rotten Tomatoes,Micheal Compton,The Dark Knight 2008,"Ledger's performance alone is good enough to make The Dark Knight a very good movie, but fortunately this is a film with even more than that -- making it the not just the best film of the summer, but one of the best films of the year.",A,A+
Rotten Tomatoes,Danielle Solzman,The Dark Knight 2008,The Dark Knight represents a masterpiece in filmmaking as Christopher Nolan takes the Batman Begins sequel to an entirely new level.,5,5
Rotten Tomatoes,Mattie Lucas,The Dark Knight 2008,The definitive movie of its genre and the best Batman film to date,3.5,4
Rotten Tomatoes,Rachel Wagner,The Dark Knight 2008,Heath Ledger is great.,B+,A+
Rotten Tomatoes,Eileen Jones,The Dark Knight 2008,"The movie's a real neo-noir all right, wallowing in darkness, thrilled with how bad we are, and getting such a kick out of our impending doom it cheers you right up.",B+,A+
Rotten Tomatoes,M.N. Miller,The Shawshank Redemption,"[The Shawshank Redemption] is the cinematic equivalent of therapy, showcasing the power of vulnerability.",B+,A+
Rotten Tomatoes,Calum Cooper,The Shawshank Redemption,The Shawshank Redemption is as beautiful and genuine now as it was in its initial overlooked run.,5,5
Rotten Tomatoes,Grant Hermanns,The Shawshank Redemption,"Frank Darabont's The Shawshank Redemption is not only still one of the best Stephen King adaptations, but also a wonderful exploration of hope.",4.5,5
Rotten Tomatoes,Adam Kempenaar,The Shawshank Redemption,Deakins’s work here began his run of 16 Oscar nominations... it’s a crucial part of Shawshank’s enduring legacy.,4.5,5
Rotten Tomatoes,Josh Larsen,The Shawshank Redemption,... a faith-based movie without any faith.,3,4
Rotten Tomatoes,Dan Buffa,The Shawshank Redemption,"Darabont cut right to the heart of a flock of human birds trapped in a giant cage, under the watch of a corrupt warden and terrifyingly sinister guard. It was serious, certain, and made you laugh. Freeman's legend has never shined brighter.",A+,A+
Rotten Tomatoes,Jonathan Romney,The Shawshank Redemption,If this is a feel-good movie -- and by the end it certainly is -- then at least it challenges us to dig deep for those good feelings when everything inside those mausoleum walls is unrelievedly harsh and grey.,A+,A+
Rotten Tomatoes,Jay Boyar,The Shawshank Redemption,"The Shawshank Redemption is both resigned and inspirational, grittily realistic and vaguely surreal, matter-of-fact and operatic. Somehow, these opposites are combined into a remarkably smooth and lyrical composition.",A+,A+
Rotten Tomatoes,Adam Mars-Jones,The Shawshank Redemption,"The sad thing is that The Shawshank Redemption, a so-so film, would have made a terrific little movie. A pacier project would have given us less time to notice sentimentalities.",A+,A+
Rotten Tomatoes,Malcolm Johnson,The Shawshank Redemption,"Next to Stand By Me, The Shawshank Redemption ranks as the strongest, purest film ever made from a novel or novella by Stephen King, a monster film where the horrors are frighteningly human.",3.5,4
Rotten Tomatoes,Yardena Arar,The Shawshank Redemption,"It's Robbins and Freeman who carry the film, working around the most predictable moments with simple understatement.",3.5,4
Rotten Tomatoes,David Denby,The Shawshank Redemption,"There's nothing going on in The Shawshank Redemption from shot to shot -- no expressive life, no spontaneity or feeling. It's a stunted movie.",3.5,4
Rotten Tomatoes,William Arnold,The Shawshank Redemption,"The acting is so strong, so seductive in The Shawshank Redemption that you almost don't notice this epic prison drama isn't all that good.",2.5,4
Rotten Tomatoes,Manohla Dargis,The Shawshank Redemption,"Darabont, making his debut as a director, is swamped by ambition. There is just too much here -- too much plot, too many particulars, too many prisoners vying for attention.",2.5,4
Rotten Tomatoes,Michael Medved,The Shawshank Redemption,A hackneyed prison movie with acting so strong that it often seems more substantive than it is.,2.5,4
Rotten Tomatoes,Michael Wilmington,The Shawshank Redemption,"The Shawshank Redemption may be working with stuff we've seen before, but it's surprisingly strong and engrossing. Even elitists in the audience who dismiss King as a shock schlockmeister may be amazed at this picture's narrative grip.",3.5,4
Rotten Tomatoes,Kenneth Turan,The Shawshank Redemption,"Its message of hope and friendship comes premixed with a sizable dollop of unappetizing violence, intended to convince audiences that what they're watching isn't a big glob of cotton candy after all.",3.5,4
Rotten Tomatoes,Lea Saslav,The Shawshank Redemption,"Darabont gets Robbins' most subtle and multi-layered performance to date. But the Oscar nomination will go to Freeman, who shows the majesty of sadness and how sweet redemption can be -- even when all hope is lost.",3.5,4
Rotten Tomatoes,Jeff Simon,The Shawshank Redemption,"It's a movie with dignity and surprises and before it has finished, it has acquired a good deal of power.",4,5
Rotten Tomatoes,Lizzie Francke,The Shawshank Redemption,"The towering Tim Robbins has a solidity and gentle interiority that occasionally reminds one here of Burt Lancaster. Of equal excellence is Morgan Freeman as Red, who holds the film together with his poetic, often quipping narration.",4,5
Rotten Tomatoes,Ben Gibbons,Fight Club,David Fincher created a masterpiece in this mind-bending psychological drama that features a star-studded cast with extraordinary twists.,4.5,5
Rotten Tomatoes,Christopher Lloyd,Fight Club,David Fincher's prescient rumination on manhood at the close of the 20th century was a revolutionary movie about revolutionary men in a time of complacence.,4,5
Rotten Tomatoes,Martin Carr,Fight Club,"Fight Club feels like a declaration of artistic intent with an axe to grind. It comes across as a tour de force from director David Fincher, and aggressively courts controversy whilst remaining a truly riveting piece of work",8,10
Rotten Tomatoes,Kevin Maher,Fight Club,From the guitar roar on the Dust Brothers' opening title track through to the thundering drums of Pixies' Where Is My Mind? it is pure synapse-splitting sensory overload and the road that commercial cinema refused to take.,5,5
Rotten Tomatoes,Dennis Harvey,Fight Club,"Fight Club did indeed fly over the heads of audiences expecting straight macho action thrills, as opposed to a mind-messing critique of the same, as well as capitalism, material acquisition, masculinity and other sacred cows of national identity.",5,5
Rotten Tomatoes,Chuck Klosterman,Fight Club,"Fight Club is very, very, very good.",3.5,4
Rotten Tomatoes,Manuel São Bento,Fight Club,"With an absolutely brilliant direction and execution, David Fincher uses Jim Uhls’ captivating, layered, unconventional screenplay to tackle themes such as consumerism, society’s behavior, and mental health.",A-,A+
Rotten Tomatoes,Wendy Ide,Fight Club,David Fincher’s adaptation of the Chuck Palahniuk novel is a shrewd and expertly crafted study of the male in crisis.,A-,A+
Rotten Tomatoes,David Reddish,Fight Club,It seems like the male characters in Fight Club would be a whole lot happiernot to mention healthierif they could express respect and affection through the magic of gay sex.,3.5,4
Rotten Tomatoes,James Croot,Fight Club,"The first rule of Fight Club, as we're constantly reminded, might not be to talk about it, but once seen, it is most certainly not forgotten, even 22 years on.",4.5,5
Rotten Tomatoes,Sean Collier,Fight Club,Let's not get away from the fact that Fight Club is awesome.,10,10
Rotten Tomatoes,Sarah Brinks,Fight Club,"David Fincher is an interesting director whose films more often than not work for me, Fight Club is a notable exception.",10,10
Rotten Tomatoes,Luke Hicks,Fight Club,"Shocking violence, utter chaos, spirited editing, and mindfuck finales can be found elsewhere. Pitt haranguing a squirrelly Norton everyman on consumerist ideals, however, is forever.",10,10
Rotten Tomatoes,Marianna Neal,Fight Club,"It's bold, it's gritty, it's rebellious, it's unapologetic, it takes risks, and it's narrator reflects the frustrations of many people.",10,10
Rotten Tomatoes,Mike Massie,Fight Club,Unsubtle subliminal messages pair with skewed perceptions to demonstrate overstressed stylization and a hopelessly circuitous plot.,8,10
Rotten Tomatoes,Sezín Koehler,Fight Club,'Fight Club' examines David Fincher's portrait of toxic masculinity from the female gaze.,5,5
Rotten Tomatoes,Fico Cangiano,Fight Club,"Brad Pitt and Edward Norton are both perfect in David Fincher's anarchic, moody and violent film. [Full review in Spanish]",4,5
Rotten Tomatoes,Bob Thomas,Fight Club,"Perhaps it is postmodern filmmaking, whatever that means. In any case, Fight Club remains the ugliest, most inhuman film since Natural Born Killers.",C-,A+
Rotten Tomatoes,PJ Nabarro,Fight Club,The film's tongue is far too firmly in its cheek at all points of its discourse to ever take its characters' actions too much at face value.,4,5
Rotten Tomatoes,Patrick Z. McGavin,Fight Club,"The movie demands a certain attention and is not easily dismissed, but there is something deeply unsettling about a work that uncritically espouses brutality as a function of alienation and nonconformity.",4,5
Rotten Tomatoes,Dan Buffa,Pulp Fiction,"From the riveting split story lines and hyper-profanity to the quotable dialogue and shocking action, Tarantino's movie reverberated then and still does to this day.",4,5
Rotten Tomatoes,M.N. Miller,Pulp Fiction,"Super cool, totally thrilling, and a startling blend of homage and originality that has not been matched since—once you see it, you’ll never view cinema the same way again.",10,10
Rotten Tomatoes,Grant Hermanns,Pulp Fiction,"Quentin Tarantino's Pulp Fiction not only remains his best movie, but is an exhilarating crime saga full of great performances and energetic writing.",5,5
Rotten Tomatoes,Kevin Maher,Pulp Fiction,"... A controversial yet award-worthy combination of gorgeous dialogue, genre-literacy, guns and gore.",5,5
Rotten Tomatoes,Alan French,Pulp Fiction,"Pulp Fiction may not be perfect (the Butch sequence struggles to reach the heights of the others). However, its highs are among the very best in cinema history.",10,10
Rotten Tomatoes,Sean Axmaker,Pulp Fiction,... a film that twists and turns and double backs on itself with the sheer delight of a narrative magician.,10,10
Rotten Tomatoes,Roger Ebert,Pulp Fiction,"Quentin Tarantino is the Jerry Lee Lewis of cinema, a pounding performer who doesn't care if he tears up the piano, as long as everybody is rocking.",4,4
Rotten Tomatoes,Marjorie Baumgarten,Pulp Fiction,Rarely have I left a movie theatre more thrilled or invigorated as I did after leaving Pulp Fiction.,4.5,5
Rotten Tomatoes,Tom Long,Pulp Fiction,"There is a fine madness to writer/director/actor Quentin Tarantino's latest wonderwork, Pulp Fiction, which is certainly one of the most exciting films of the past 20 years and easily the most important film of 1994.",A+,A+
Rotten Tomatoes,Peter Keough,Pulp Fiction,"Unlike his first film, Reservoir Dogs, whose genius lay in its ability to shock and dazzle, Pulp Fiction penetrates the glib surface of style, allusion, and machismo to the murky meaning of these things.",A+,A+
Rotten Tomatoes,Peter Travers,Pulp Fiction,There's a special kick that comes from watching something this thrillingly alive.,A+,A+
Rotten Tomatoes,Eleanor Ringel Cater,Pulp Fiction,"The actors know they've got a good thing and, echoing Tarantino's boldness and resourcefulness, they give it everything they've got.",A+,A+
Rotten Tomatoes,Elizabeth Pincus,Pulp Fiction,"Like its source material, Pulp Fiction is comic and grim, sun-soaked and shadowy, tender and blunt. A pop-drenched dream reel, the film is both a reverential nod to the power of words and a stunning entertainment that more than lives up to its hype.",A+,A+
Rotten Tomatoes,Desson Thomson,Pulp Fiction,"Brilliant and brutal, funny and exhilarating, jaw-droppingly cruel and disarmingly sweet.",A+,A+
Rotten Tomatoes,Marylynn Uricchio,Pulp Fiction,"A truly great soundtrack keeps the tone hip and even steals a scene or two. Not that Tarantino doesn't have plenty to spare. Pulp Fiction is riveting filmmaking funny, visceral, stylish and so unabashedly original that you never want it to end.",4,4
Rotten Tomatoes,Dolores Barclay,Pulp Fiction,"Unlike too many movies with annoying soundtracks that make up for inferior filmmaking, Tarantino allows natural sounds to slip in -- traffic utensils and other everyday background noises. It allows for more drama and a greater buildup of tension.",4,4
Rotten Tomatoes,Gene Siskel,Pulp Fiction,"In between the violence, which does get hard R-rated extreme, the real pleasure of Pulp Fiction is listening to these folks talk. If you smile at David Mamet's dialogue, you'll laugh out loud at the words of Quentin Tarantino.",4,4
Rotten Tomatoes,Steve Persall,Pulp Fiction,Nothing you've ever seen on screen fully prepares you for the audacious ferocity of Quentin Tarantino's pitch-black comedy Pulp Fiction.,A+,A+
Rotten Tomatoes,Rene Rodriguez,Pulp Fiction,"[Pulp Fiction] is a dazzling feat of writing. Lurid and unexpectedly hilarious, it's a deceptive piece of work that appears slight and simple on the surface but grows richer and more complex with hindsight.",3.5,4
Rotten Tomatoes,Robbie Roberts,Pulp Fiction,"Quentin Tarantino, two movies into his directing career, brings to mind the early years of Godard and Truffaut, Coppola when he arrived with the Godfathers and Scorcese when he took to the streets of New York.",4,4
Rotten Tomatoes,Nadir Samara,Forrest Gump,"Flaws and all, the movie unfolds like a book of short stories and that choice ushered in a confidence the script is able to pull off.",7,10
